form,lemma,pos,morph
Constantino,constantinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
praesente,praesvm,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
cum,cvm,PRE,MORPH=empty
magno,magnvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
examine,examen,NOM3,Case=Abl|Numb=Sing
fuisset,svm,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
conscriptum,conscribo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
quod,qvi,PROrel,Case=Acc|Numb=Sing
tenens,teneo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
baptizatus,baptizo,VER,Case=Nom|Numb=Sing|Tense=Perf
ad,ad,PRE,MORPH=empty
quietem,qvies,NOM3,Case=Acc|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
commigrauit,commigro,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
nefas,nefas,NOM6,Case=Ind
putamus,pvto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
inde,inde,ADV,Deg=Pos
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
mutilare,mvtilo,VER,Mood=Inf|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
tot,tot,PROdem,Case=Ind
sanctos,sanctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
confessores,confessor,NOM3,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
successores,svccessor,NOM3,Case=Acc|Numb=Plur
martirum,mars,NOM3,Case=Gen|Numb=Plur
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
tractatus,tracto,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
conscriptores,conscriptor,NOM3,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
aliquo,aliqvis,PROind,Case=Abl|Numb=Sing
remouere,removeo,VER,Mood=Inf|Tense=Pres|Voice=Act
cum,cvm,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
ipsi,ipse,PROdem,Case=Nom|Numb=Plur
praeteritorum,praeteritvs,ADJqua,Case=Gen|Numb=Plur
catholicorum,catholicvs,NOM2,Case=Gen|Numb=Plur
secundum,secvndvm,PRE,MORPH=empty
scripturas,scriptvra,NOM1,Case=Acc|Numb=Plur
cuncta,cvnctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
seniarunt,senio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quorum,qvi,PROrel,Case=Gen|Numb=Plur
fides,fides,NOM5,Case=Nom|Numb=Sing
mansit,maneo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
usque,vsqve,ADV,Deg=Pos
in,in,PRE,MORPH=empty
haec,hic,PROdem,Case=Acc|Numb=Plur
tempora,tempvs,NOM3,Case=Acc|Numb=Plur
quibus,qvi,PROrel,Case=Abl|Numb=Plur
pietas,pietas,NOM3,Case=Nom|Numb=Sing
tua,tvvs,PROpos,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
deo,devs,NOM2,Case=Abl|Numb=Sing
patre,pater,NOM3,Case=Abl|Numb=Sing
per,per,PRE,MORPH=empty
deum,devs,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
dominum,dominvs,NOM2,Case=Acc|Numb=Sing
nostrum,noster,PROpos,Case=Acc|Numb=Sing
Iesum,iesvs,NOM2,Case=Acc|Numb=Sing
Christum,christvs,NOM2,Case=Acc|Numb=Sing
regendi,rego,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
orbis,orbis,NOM3,Case=Gen|Numb=Sing
accepit,accipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
facultatem,facvltas,NOM3,Case=Acc|Numb=Sing
xal,xal,NOM3,Case=Nom|Numb=Sing
xai,xalvs,VER,Case=Gen|Numb=Sing
xai,xalvs,VER,Case=Gen|Numb=Sing
eluat,elvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
TI,tres,ADJcar,Case=Gen|Numb=Plur
xatuoxai,xatvoxa,ADJqua,Case=Gen|Numb=Plur
xai,xeo,VER,Case=Nom|Numb=Plur
to,ton,ADV,Case=Abl
re,res,NOM5,Case=Abl|Numb=Sing
xai,xeo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf
xard,xardvs,NOM3,Case=Nom|Numb=Sing
wu,ivs,ADVrel,MORPH=empty
o,o,INJ,MORPH=empty
xai,xeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf
roug,rovgeo,NOM3,Case=Acc|Numb=Sing
couc,covc,ADV,Deg=Pos
rou,rovvs,NOM2,Case=Abl|Numb=Sing
ou,ovs,NOM3,Case=Abl|Numb=Sing
xai,xeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf
youu,yovvs,NOM2,Case=Abl|Numb=Sing
oi,ovis,NOM2,Case=Dat|Numb=Sing
xai,xeo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf
q,,ADVrel,MORPH=empty
xai,xeo,VER,Case=Nom|Numb=Plur|Tense=Perf
tunc,tvnc,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
conabantur,conor,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Dep|Person=3
conuellere,convello,VER,Mood=Inf|Tense=Pres|Voice=Act
quod,qvod,PROrel,Case=Nom
fuerat,svm,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
positum,pono,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ratione,ratio,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
pietatis,pietas,NOM3,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
litterae,littera,NOM1,Case=Nom|Numb=Plur
iusserunt,ivbeo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
tractari,tracto,VER,Mood=Inf|Tense=Pres|Voice=Pass
de,de,PRE,MORPH=empty
fide,fides,NOM5,Case=Abl|Numb=Sing
offerebatur,offero,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3
nobis,nos,PROper,Case=Dat|Numb=Plur
a,ab,PRE,MORPH=empty
supradictis,svpradictvm,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
turbatoribus,tvrbator,NOM3,Case=Abl|Numb=Plur
ecclesiarum,ecclesia,NOM1,Case=Gen|Numb=Plur
adsociato,associo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
Genninio,genninivs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
Gaio,gaivs,NOM2,Case=Abl|Numb=Sing
nouum,novvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
nescio,nescio,VER,Mood=Ind|Tense=Pres|Voice=Act|Person=1
quid,qvis,PROrel,Case=Nom|Numb=Sing
considerandum,considero,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
quod,qvi,CONsub,MORPH=empty
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
peruersae,perverto,VER,Case=Gen|Numb=Sing|Tense=Perf|Voice=Pass
doctrinae,doctrina,NOM1,Case=Dat|Numb=Sing
continebat,contineo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
at,at,CONcoo,MORPH=empty
uero,vero,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
uideretur,video,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
displicere,displiceo,VER,Mood=Inf|Tense=Pres|Voice=Act
quod,qvi,PROrel,Case=Acc
offerebant,offero,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
publice,pvblice,ADV,Deg=Pos
in,in,PRE,MORPH=empty
concilio,concilivm,NOM2,Case=Abl|Numb=Sing
putauerunt,pvto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
aliter,aliter,ADV,Deg=Pos
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
conscribendum,conscribo,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
equidem,eqvidem,ADV,Deg=Pos
haec,hic,PROdem,Case=Acc|Numb=Plur
breui,brevis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
saepe,saepe,ADV,Deg=Pos
mutasse,mvto,VER,Mood=Inf|Tense=Perf|Voice=Act
manifestum,manifestvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
ne,ne,CONsub,MORPH=empty
frequentius,freqventer,ADV,Deg=Comp
ecclesiae,ecclesia,NOM1,Case=Nom|Numb=Plur
perturbentur,pertvrbo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
placuit,placeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
statuta,statvo,NOM2,Case=Nom|Numb=Plur
uetera,vetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
rata,ratvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
inmutabilia,immvtabilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
seruari,servo,VER,Mood=Inf|Tense=Pres|Voice=Pass
ad,ad,PRE,MORPH=empty
xard,xardvs,NOM3,Case=Acc|Numb=Sing
ro,ro,NOM2,Case=Abl|Numb=Sing
cou,covs,NOM4,Case=Abl|Numb=Sing
ro,ro,NOM2,Case=Abl|Numb=Sing
ouuodou,ovvodo,NOM2,Case=Abl|Numb=Sing
idlag,iflagris,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
xai,xeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf
dtxo,dteco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
wu,vvs,CONsub,MORPH=empty
ouaa,ovvm,NOM2,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
oure,ovris,NOM3,Case=Abl|Numb=Sing
ro,ro,NOM2,Case=Abl|Numb=Sing
w,o,PRE,MORPH=empty
o,o,INJ,Case=Abl
o,o,INJ,MORPH=empty
xai,xalvs,VER,Case=Voc|Numb=Plur
iua,iva,NOM1,Case=Abl|Numb=Plur
ouu,ovvm,NOM2,Case=Abl|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
xal,xal,NOM3,Case=Nom|Numb=Sing
xai,xaivs,VER,Case=Gen|Numb=Sing|Mood=Par
xai,xaivs,VER,Case=Gen|Numb=Sing
orju,orpvs,NOM4,Case=Abl|Numb=Sing
instruendam,instrvo,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
igitur,igitvr,CONcoo,MORPH=empty
tuam,tvvs,PROpos,Case=Acc|Numb=Sing
clementiam,clementia,NOM1,Case=Acc|Numb=Sing
legatos,legatvs,NOM2,Case=Acc|Numb=Plur
nostros,nostri,PROpos,Case=Acc|Numb=Plur
misimus,mitto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
sententiam,sententia,NOM1,Case=Acc|Numb=Sing
concilii,concilivm,NOM2,Case=Gen|Numb=Sing
per,per,PRE,MORPH=empty
litteras,littera,NOM1,Case=Acc|Numb=Plur
nostras,noster,PROpos,Case=Acc|Numb=Plur
nuntiarent,nvntio,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
quibus,qvi,PROrel,Case=Abl|Numb=Plur
hoc,hic,PROdem,Case=Acc|Numb=Sing
ipsum,ipse,PROdem,Case=Acc|Numb=Sing
solum,solvm,ADV,Case=Acc|Numb=Sing
mandauimus,mando,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
aliter,aliter,ADV,Deg=Pos
legationem,legatio,NOM3,Case=Acc|Numb=Sing
perferrent,perfero,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
quam,qvam,ADVrel,MORPH=empty
ut,vt,CONsub,MORPH=empty
statuta,statvo,NOM2,Case=Nom|Numb=Plur
uetera,vetvs,NOM3,Case=Nom|Numb=Plur|Deg=Pos
permanerent,permaneo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
firmissima,firmvs,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
ut,vt,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
sapientia,sapientia,NOM1,Case=Nom|Numb=Sing
tua,tvvs,PROpos,Case=Nom|Numb=Sing
cognosceret,cognosco,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
hoc,hic,PROdem,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
promiserant,promitto,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
supradicti,svpradictvm,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
Valens,valens,NOM3,Case=Nom|Numb=Sing
Vrsacius,vrsacivs,NOM2,Case=Nom|Numb=Sing
Germinius,germinivs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
Gaius,gaivs,NOM2,Case=Nom|Numb=Sing
si,si,CONsub,MORPH=empty
aliquid,aliqvis,PROind,Case=Nom|Numb=Sing
rectorum,rectvs,NOM2,Case=Gen|Numb=Plur
