form,lemma,pos,morph
undique,vndiqve,ADV,Deg=Pos
aspernationibus,aspernatio,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
obprobriis,opprobrivm,NOM2,Case=Abl|Numb=Plur
circumstantibus,circvmsto,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
post,post,PRE,MORPH=empty
quae,qvi,PROrel,Case=Acc|Numb=Plur
misericordiam,misericordia,NOM1,Case=Acc|Numb=Sing
consecutos,conseqvor,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Perf|Voice=Dep
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
obprobrio,opprobrivm,NOM2,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
abundantia,abvndantia,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
aspernatione,aspernatio,NOM3,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
superbia,svperbia,NOM1,Case=Abl|Numb=Sing
conlocatos,colloco,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
quid,qvis,PROrel,Case=Acc|Numb=Sing
agere,ago,VER,Mood=Inf|Tense=Pres|Voice=Act
ac,ac,CONcoo,MORPH=empty
loqui,loqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
nos,nos,PROper,Case=Acc|Numb=Plur
oporteat,oportet,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
propheta,propheta,NOM2,Case=Acc|Numb=Plur
demonstrat,demonstro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dicens,dico,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nisi,nisi,CONsub,MORPH=empty
quod,qvod,CONsub,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
dicat,dico,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc,nvnc,ADV,Deg=Pos
Israhel,israhel,NOM3,Case=Nom|Numb=Sing
nisi,nisi,CONsub,MORPH=empty
quod,qvi,CONsub,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
cum,cvm,CONsub,MORPH=empty
surgerent,svrgo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
homines,homo,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
forte,forte,ADV,Deg=Pos
uiuos,vivvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
degluttissent,deglvto,VER,Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
nos,nos,PROper,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
quidem,qvidem,ADV,Deg=Pos
sermo,sermo,NOM3,Case=Nom|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
talis,talis,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
intellegatur,intelligo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
prophetae,propheta,NOM1,Case=Dat|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
instruentis,instrvo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quid,qvis,PROrel,Case=Acc|Numb=Sing
dici,dico,VER,Mood=Inf|Tense=Pres|Voice=Pass
a,ab,PRE,MORPH=empty
ceteris,ceteri,NOM2,Case=Abl|Numb=Plur
oporteat,oportet,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
primum,primvm,ADJadv.ord,Deg=Sup
enim,enim,CONcoo,MORPH=empty
res,res,NOM5,Case=Nom|Numb=Sing
ipsa,ipse,PROdem,Case=Nom|Numb=Sing
dicta,dictvm,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dehinc,dehinc,ADV,Deg=Pos
qualiter,qvaliter,ADV,Deg=Pos
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
dicenda,dico,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
monstratur,monstro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
hic,hic,PROdem,Case=Nom|Numb=Sing
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ordo,ordo,NOM3,Case=Nom|Numb=Sing
ut,vt,CONsub,MORPH=empty
quid,qvis,PROind,Case=Nom|Numb=Sing
agendum,ago,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
dehinc,dehinc,ADV,Deg=Pos
quatenus,qvatenvs,ADVrel,MORPH=empty
agendum,ago,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ostenderetur,ostendo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
nisi,nisi,CONsub,MORPH=empty
quod,qvod,CONsub,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
dicat,dico,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc,nvnc,ADV,Deg=Pos
Israhel,israhel,NOM3,Case=Nom|Numb=Sing
dictum,dico,VER,Case=Nom|Numb=Sing|Voice=Pass
ergo,ergo,CONcoo,MORPH=empty
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quid,qvis,PROint,Case=Nom|Numb=Sing
dici,dico,VER,Mood=Inf|Tense=Pres|Voice=Pass
ab,ab,PRE,MORPH=empty
Israhel,israhel,NOM3,Case=Acc|Numb=Sing
oporteret,oportet,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
de,de,PRE,MORPH=empty
Israhel,israhel,NOM2,Case=Acc|Numb=Sing
frequenter,freqventer,ADV,Deg=Pos
admonuimus,admoneo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
eum,is,PROdem,Case=Acc|Numb=Sing
existimandum,existimo,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
qui,qvi,PROrel,Case=Nom|Numb=Sing
deum,devs,NOM2,Case=Gen|Numb=Plur
mentis,mens,NOM3,Case=Gen|Numb=Sing
oculis,ocvlvs,NOM2,Case=Abl|Numb=Plur
contemplatus,contemno,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc,nvnc,ADV,Deg=Pos
ergo,ergo,CONcoo,MORPH=empty
secundum,secvndvm,PRE,Deg=Pos
prophetiam,prophetia,NOM1,Case=Acc|Numb=Sing
cognito,cognosco,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
quid,qvis,PROrel,Case=Acc|Numb=Sing
dicere,dico,VER,Mood=Inf|Tense=Pres|Voice=Act
debeat,debeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Israhel,israhel,NOM2,Case=Nom|Numb=Sing
loquetur,loqvor,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
nisi,nisi,CONsub,MORPH=empty
quod,qvod,CONsub,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
cum,cvm,CONsub,MORPH=empty
insurgerent,insvrgo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
homines,homo,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
forte,forte,ADV,Deg=Pos
uiuos,vivvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
degluttissent,deglvtio,VER,Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
nos,nos,PROper,Case=Nom|Numb=Plur
hoc,hic,PROdem,Case=Nom|Numb=Sing
ergo,ergo,CONcoo,MORPH=empty
Israhel,israhel,ADJqua,Case=Nom|Numb=Sing
exemplum,exemplvm,NOM2,Case=Acc|Numb=Sing
accipiens,accipio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
a,ab,PRE,MORPH=empty
propheta,propheta,NOM1,Case=Abl|Numb=Sing
dicet,dico,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
audiuit,avdio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
nisi,nisi,CONsub,MORPH=empty
quoddominus,qvoddominvs,ADVrel,MORPH=empty
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
dicat,dico,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc,nvnc,ADV,Deg=Pos
Israhel,israhel,NOM7,Case=Nom|Numb=Sing
Non,non,NOM3,Case=Nom
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
autem,avtem,CONcoo,MORPH=empty
leue,levis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
mandatum,mandatvm,VER,Case=Nom|Numb=Sing|Voice=Pass
illud,ille,PROdem,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
necesse,necesse,ADJqua,Case=Ind|Deg=Pos
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
praeeunte,praeeo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quodam,qvidam,PROind,Case=Abl|Numb=Sing
prophetae,propheta,NOM1,Case=Nom|Numb=Plur
prseconio,priseconivm,NOM2,Case=Abl|Numb=Sing
demonstrari,demonstro,VER,Mood=Inf|Tense=Pres|Voice=Pass
in,in,PRE,MORPH=empty
his,hic,PROdem,Case=Abl|Numb=Plur
namque,namqve,CONcoo,MORPH=empty
rebus,res,NOM5,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
difficilia,difficilis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
desideratur,desidero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
exemplum,exemplvm,NOM2,Case=Nom|Numb=Sing
omnis,omnis,PROind,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
natura,natvra,NOM1,Case=Nom|Numb=Sing
hominum,homo,NOM3,Case=Gen|Numb=Plur
insolens,insolens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
res,res,NOM5,Case=Acc|Numb=Plur
secundas,secvndvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
inbecillitatis,imbecillitas,NOM3,Case=Gen|Numb=Sing
suse,svs,ADV,Deg=Pos
inmemor,immemor,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
inconsulte,inconsvlte,ADV,Deg=Pos
in,in,PRE,MORPH=empty
prosperis,prospera,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
laetans,laetor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod,qvi,PROrel,Case=Acc|Numb=Sing
ab,ab,PRE,MORPH=empty
homine,homo,NOM3,Case=Abl|Numb=Sing
doctrina,doctrina,NOM1,Case=Abl|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
erudito,ervditvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
abesse,absvm,VER,Mood=Inf|Tense=Pres|Voice=Act
oportet,oportet,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quis,qvis,PROrel,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
relictus,relinqvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nobis,nos,PROper,Case=Dat|Numb=Plur
gloriandi,glorior,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
locus,locvs,NOM2,Case=Nom|Numb=Sing
recordantibus,recordor,VER,Case=Dat|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
omnia,omnis,PROind,Case=Acc|Numb=Plur
ex,ex,PRE,MORPH=empty
deo,devs,NOM2,Case=Abl|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
si,si,CONsub,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
nobis,nos,PROper,Case=Dat|Numb=Plur
uitam,vita,NOM1,Case=Acc|Numb=Sing
inseruimus,insero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
debeamus,debeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
nobis,nos,PROper,Case=Dat|Numb=Plur
corporum,corpvs,NOM3,Case=Gen|Numb=Plur
speciem,species,NOM5,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
ipsi,ipse,PROdem,Case=Nom|Numb=Plur
pluuias,plvvia,NOM1,Case=Acc|Numb=Plur
aestusque,aestvsqve,NOM4,Numb=Plur
moderamur,moderor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
ex,ex,PRE,MORPH=empty
nostro,noster,PROpos,Case=Abl|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
prouentus,proventvs,NOM4,Case=Acc|Numb=Plur
fructuum,frvctvs,NOM4,Case=Gen|Numb=Plur
gloriemur,glorior,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
si,si,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
in,in,PRE,MORPH=empty
omnibus,omnis,PROind,Case=Abl|Numb=Plur
opus,opvs,NOM6,Case=Ind
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dei,devs,NOM2,Case=Gen|Numb=Sing
misericordia,misericordia,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
omnia,omnis,PROind,Case=Nom|Numb=Plur
nobis,nos,PROper,Case=Dat|Numb=Plur
tamquam,tamqvam,CONsub,MORPH=empty
ex,ex,PRE,MORPH=empty
nostro,noster,PROpos,Case=Abl|Numb=Sing
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
uindicemus,vindico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
numquid,nvmqvid,CONsub,MORPH=empty
fortis,fortis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fortem,fortis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
se,svi,PROref,Case=Acc|Numb=Sing
gloriabitur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
quem,qvi,PROrel,Case=Acc|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
aegritudo,aegritvdo,NOM3,Case=Nom|Numb=Sing
efficiet,efficio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
infirmum,infirmvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
numquid,nvmqvid,CONsub,MORPH=empty
diues,dives,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
opibus,ops,NOM3,Case=Abl|Numb=Plur
gloriabitur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
cui,qvi,PROrel,Case=Dat|Numb=Sing
hsec,hic,PROdem,Case=Nom|Numb=Sing
omnia,omnis,PROind,Case=Acc|Numb=Plur
forte,forte,ADV,Deg=Pos
fur,fvr,NOM3,Case=Nom|Numb=Sing
praedo,praedo,NOM3,Case=Nom|Numb=Sing
tyrannus,tyrannvs,NOM2,Case=Nom|Numb=Sing
abripiet,abripio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
numquid,nvmqvid,PROrel,MORPH=empty
nobilitas,nobilitas,NOM3,Case=Nom|Numb=Sing
gloriabitur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
effecta,efficio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
nonnumquam,nonnvmqvam,ADV,Deg=Pos
infirma,infirmvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
miserabilis,miserabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
seruitus,servitvs,NOM4,Case=Nom|Numb=Sing
numquid,nvmqvid,CONsub,Case=Nom
sapiens,sapiens,NOM3,Case=Nom|Numb=Sing
gloriabitur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
incertus,incertvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quid,qvis,PROint,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
momenta,momentvm,NOM2,Case=Acc|Numb=Plur
sibi,svi,PROref,Case=Dat|Numb=Sing
accidat,accido,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
quid,qvis,PROind,Case=Acc|Numb=Sing
horum,hic,PROdem,Case=Gen|Numb=Plur
sine,sine,PRE,MORPH=empty
molestiae,molestia,NOM1,Case=Gen|Numb=Sing
alicuius,aliqvis,PROind,Case=Gen|Numb=Sing
interpellatione,interpellatio,NOM3,Case=Abl|Numb=Sing
utimur,vtor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
laetamur,laetor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
efferimur,effero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
et,et,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
ex,ex,PRE,MORPH=empty
aliqua,aliqvis,PROind,Case=Abl|Numb=Sing
tristitia,tristitia,NOM1,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
gaudium,gavdivm,NOM2,Case=Acc|Numb=Sing
reuertamur,revertor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
huius,hic,PROdem,Case=Gen|Numb=Sing
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
uix,vix,ADV,Deg=Pos
adepti,adipiscor,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
gaudii,gavdivm,NOM2,Case=Nom|Numb=Plur
incapaces,incapax,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ultra,vltra,PRE,MORPH=empty
sensum,sensvs,NOM4,Case=Acc|Numb=Sing
humanae,hvmanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
inbecillitatis,imbecillitas,NOM3,Case=Gen|Numb=Sing
extollimur,extollo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
inmemores,immemor,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
dicti,dictvm,NOM2,Case=Gen|Numb=Plur
huius,hic,PROdem,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
glorietur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
sapiens,sapiens,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
sapientia,sapientia,NOM1,Case=Abl|Numb=Sing
sua,svvs,PROpos.ref,Case=Abl|Numb=Sing
neque,neqve,CONcoo,MORPH=empty
fortis,fortis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
fortitudine,fortitvdo,NOM3,Case=Abl|Numb=Sing
sua,svvs,PROpos.ref,Case=Abl|Numb=Sing
neque,neqve,CONcoo,MORPH=empty
diues,dives,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
diuitiis,divitiae,NOM1,Case=Abl|Numb=Plur
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
sed,sed,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
glorietur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
gloriatur,glorior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
intellegere,intelligo,VER,Mood=Inf|Tense=Pres|Voice=Act
se,svi,PROref,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
cognoscere,cognosco,VER,Mood=Inf|Tense=Pres|Voice=Act
quia,qvia,CONsub,MORPH=empty
ego,ego,PROper,Case=Nom|Numb=Sing
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
ergo,ergo,CONcoo,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
consuetudinis,consvetvdo,NOM3,Case=Gen|Numb=Sing
nostrae,noster,PROpos,Case=Gen|Numb=Sing
uitio,vitivm,NOM2,Case=Abl|Numb=Sing
insolentes,insolens,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
quodam,qvidam,PROind,Case=Abl|Numb=Sing
praescripto,praescribo,NOM2,Case=Abl|Numb=Sing|Tense=Perf|Voice=Pass
confessionis,confessio,NOM3,Case=Gen|Numb=Sing
propheta,propheta,NOM2,Case=Nom|Numb=Sing
formauit,formo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
honorem,honor,NOM3,Case=Acc|Numb=Sing
deo,devs,NOM2,Case=Abl|Numb=Sing
reddendum,reddo,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
gloriandum,glorior,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Dep
exemplo,exemplvm,NOM2,Case=Abl|Numb=Sing
admonitionis,admonitio,NOM3,Case=Gen|Numb=Sing
edocuit,edoceo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dicens,dico,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nisi,nisi,CONsub,MORPH=empty
quod,qvod,CONsub,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
dicat,dico,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nunc,nvnc,ADV,Deg=Pos
Israhel,israhel,NOM2,Case=Nom|Numb=Sing
Auditis,avditi,NOM2,Case=Dat|Numb=Plur
igitur,igitvr,CONcoo,MORPH=empty
a,ab,PRE,MORPH=empty
propheta,propheta,NOM1,Case=Abl|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Plur
dicere,dico,VER,Mood=Inf|Tense=Pres|Voice=Act
nos,nos,PROper,Case=Acc|Numb=Plur
