form,lemma,pos,morph
in,in,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
alicuius,aliqvis,PROind,Case=Gen|Numb=Sing
alterius,alter,PROind,Case=Gen|Numb=Sing
magis,magis,ADV,Deg=Comp
rei,res,NOM5,Case=Gen|Numb=Sing
intellegentia,intelligentia,NOM1,Case=Abl|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
quam,qvam,ADVrel,MORPH=empty
finis,finis,NOM3,Case=Nom|Numb=Sing
finis,finis,NOM3,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,ADVrel,MORPH=empty
frequenter,freqventer,ADV,Deg=Pos
ostendimus,ostendo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
quo,qvi,PROrel,Case=Abl
concluduntur,conclvdo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
omnia,omnis,PROind,Case=Nom|Numb=Plur
cuius,qvi,PROrel,Case=Gen|Numb=Sing
causa,cavsa,NOM1,Case=Abl|Numb=Sing
cetera,cetera,NOM2,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
uniuersa,vniversvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
spei,spes,NOM5,Case=Gen|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
negotiorum,negotivm,NOM2,Case=Gen|Numb=Plur
opera,opvs,NOM3,Case=Abl|Numb=Plur
festinant,festino,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Intellegentia,intellegentia,NOM1,Case=Nom|Numb=Sing
ergo,ergo,CONcoo,MORPH=empty
psalmi,psalma,NOM2,Case=Gen|Numb=Sing
in,in,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
consistit,consisto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ob,ob,PRE,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
omnia,omnis,PROind,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
extra,extra,PRE,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
nihil,nihil,PROind,Case=Ind
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
quis,qvis,PROind,Case=Nom|Numb=Sing
iste,iste,PROdem,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
superscriptio,svperscriptio,NOM3,Case=Nom|Numb=Sing
ipsa,ipse,PROdem,Case=Nom|Numb=Sing
quse,qvie,ADVrel,Deg=Pos
continere,contineo,VER,Mood=Inf|Tense=Pres|Voice=Act
historiam,historia,NOM1,Case=Acc|Numb=Sing
existimatur,existimo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ostendet,ostendo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
talis,talis,PROdem,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
finem,finis,NOM3,Case=Acc|Numb=Sing
intellectus,intelligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
illi,ille,PROdem,Case=Dat|Numb=Sing
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
cum,cvm,CONsub,MORPH=empty
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Doec,doec,NOM7,Case=Nom|Numb=Sing
Idumseus,idvmsevs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
adnuntiauit,annvntio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Saul,savlvs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
dixit,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ei,is,PROdem,Case=Dat|Numb=Sing
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
domum,domvs,NOM6,Case=Acc|Numb=Sing
Abimelech,abimelecha,NOM7,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
ut,vt,CONsub,MORPH=empty
absolutius,absolvte,ADV,Deg=Comp
rationem,ratio,NOM3,Case=Acc|Numb=Sing
superscriptionis,svperscriptio,NOM3,Case=Gen|Numb=Sing
consequi,conseqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
possimus,possvm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
ipse,ipse,PROdem,Case=Nom|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
gestarum,gero,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ordo,ordo,NOM3,Case=Nom|Numb=Sing
subdendus,svbdo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Doec,doec,NOM7,Case=Nom|Numb=Sing
prsepositus,preponositvs,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
mulorum,mvlvs,NOM2,Case=Gen|Numb=Plur
Saul,savlis,NOM2,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
Saul,savlis,NOM3,Case=Acc|Numb=Sing
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uidi,video,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
filium,filivs,NOM2,Case=Acc|Numb=Sing
Iesse,iessvs,NOM3,Case=Nom|Numb=Sing
uenientem,venio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
Noba,noba,NOM1,Case=Abl|Numb=Sing
ad,ad,PRE,MORPH=empty
Abimelech,abimelechvs,NOM2,Case=Acc|Numb=Sing
filium,filivs,NOM2,Case=Acc|Numb=Sing
Achitob,achitob,NOM7,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
interrogauit,interrogo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
eum,is,PROdem,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
domino,dominvs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
manducare,mandvco,VER,Mood=Inf|Tense=Pres|Voice=Act
dedit,do,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ei,is,PROdem,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
gladium,gladivs,NOM2,Case=Acc|Numb=Sing
Golise,golis,NOM2,Case=Nom|Numb=Sing
alienigense,alienigensis,ADV,Deg=Pos
dedit,do,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
illi,ille,PROdem,Case=Dat|Numb=Plur
quibus,qvi,PROrel,Case=Abl|Numb=Plur
auditis,avdio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
rex,rex,NOM3,Case=Nom|Numb=Sing
potestatem,potestas,NOM3,Case=Acc|Numb=Sing
Doec,doecvs,NOM7,Case=Nom|Numb=Sing
sacerdotum,sacerdos,NOM3,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
ciuitatis,civitas,NOM3,Case=Gen|Numb=Sing
dedit,do,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dehinc,dehinc,ADV,Deg=Pos
scriptura,scriptvra,NOM1,Case=Abl|Numb=Sing
subiecit,svbicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
circumiuit,circvmeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Doec,doec,NOM7,Case=Nom|Numb=Sing
Idumseus,idvmsevs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
tetigit,tango,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sacerdotes,sacerdos,NOM3,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
mortificauit,mortifico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
die,dies,NOM5,Case=Abl|Numb=Sing
illa,ille,PROdem,Case=Abl|Numb=Sing
octoginta,octoginta,ADJcar,Case=Ind
et,et,CONcoo,MORPH=empty
quinque,qvinqve,ADJcar,Case=Ind
omnes,omnis,PROind,Case=Nom|Numb=Plur
ferentes,fero,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ephud,ephvs,CONcoo,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
Noba,noba,NOM1,Case=Nom|Numb=Sing
ciuitatem,civitas,NOM3,Case=Acc|Numb=Sing
sacerdotum,sacerdos,NOM3,Case=Gen|Numb=Plur
deiecit,deicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
ore,os,NOM3,Case=Abl|Numb=Sing
gladii,gladivs,NOM2,Case=Gen|Numb=Plur
hsec,hic,PROdem,Case=Nom|Numb=Sing
itaque,itaqve,CONcoo,MORPH=empty
omnis,omnis,PROind,Case=Nom|Numb=Plur
gestorum,gero,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
fides,fides,NOM5,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ex,ex,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
tantum,tantvm,PROdem,Case=Nom|Deg=Pos
ad,ad,PRE,MORPH=empty
psalmi,psalmvs,NOM2,Case=Gen|Numb=Sing
titulum,titvlvs,NOM2,Case=Acc|Numb=Sing
praesumptum,praesvmo,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quantum,qvantvm,PROrel,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
sacramento,sacramentvm,NOM2,Case=Abl|Numb=Sing
psalmi,psalmvm,NOM2,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
propheticae,propheticvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
satisfaceret,satisfacio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
doctrinae,doctrina,NOM1,Case=Gen|Numb=Sing
id,is,PROdem,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
solum,solvs,PROind,Case=Nom|Deg=Pos
in,in,PRE,MORPH=empty
superscriptione,svperscriptio,NOM3,Case=Abl|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Doec,doeces,NOM7,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
adnuntiauit,annvntio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Saul,savlvs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
dixit,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
domum,domvs,NOM6,Case=Acc|Numb=Sing
Abimelech,abimelecha,NOM7,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
necessario,necessario,ADV,Deg=Pos
post,post,PRE,Deg=Pos
quinquagesimum,qvinqvagesimvs,ADJord,Case=Acc|Numb=Sing|Deg=Pos
psalmum,psalmvs,NOM2,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
peccatorum,peccatvm,NOM2,Case=Gen|Numb=Plur
remissio,remissio,NOM3,Case=Nom|Numb=Sing
secundum,secvndvm,PRE,Deg=Pos
sanctificati,sanctifico,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
huius,hic,PROdem,Case=Gen|Numb=Sing
ut,vt,ADVrel,MORPH=empty
in,in,PRE,MORPH=empty
exordio,exordivm,NOM2,Case=Abl|Numb=Sing
psalmorum,psalmvm,NOM2,Case=Gen|Numb=Plur
docuimus,doceo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
numeri,nvmervs,NOM2,Case=Gen|Numb=Sing
uirtutem,virtvs,NOM3,Case=Acc|Numb=Sing
continetur,contineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
psalmus,psalmvs,NOM2,Case=Nom|Numb=Sing
iste,iste,PROdem,Case=Nom|Numb=Sing
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
anterior,anterior,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
ordine,ordo,NOM3,Case=Abl|Numb=Sing
posterior,postervs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
collocatur,colloco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ut,vt,CONsub,MORPH=empty
id,is,PROdem,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
finem,finis,NOM3,Case=Acc|Numb=Sing
intellectus,intelligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
prsescribitur,prescribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
perfectis,perficio,ADJqua,Case=Abl|Numb=Plur
undique,vndiqve,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
absolutis,absolvo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sacramentorum,sacramentvm,NOM2,Case=Gen|Numb=Plur
generibus,genvs,NOM3,Case=Abl|Numb=Plur
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
intellegi,intelligo,VER,Mood=Inf|Tense=Pres|Voice=Pass
Abimelech,abimelechachvs,NOM7,Case=Acc|Numb=Sing
interpretatione,interpretatio,NOM3,Case=Abl|Numb=Sing
uerbi,verbvm,NOM2,Case=Gen|Numb=Sing
fratris,frater,NOM3,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
imperium,imperivm,NOM2,Case=Acc|Numb=Sing
significat,significo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod,qvod,CONsub,MORPH=empty
enim,enim,CONcoo,MORPH=empty
nobiscum,nobiscvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
fratris,frater,NOM3,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
imperium,imperivm,NOM2,Case=Acc|Numb=Sing
dicimus,dico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
id,is,PROdem,Case=Acc|Numb=Sing
Hebraei,hebraei,NOM2,Case=Nom|Numb=Plur
Abimelech,abimelecha,NOM2,Case=Acc|Numb=Sing
nuncupant,nvncvpo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
ergo,ergo,CONcoo,MORPH=empty
Sauli,savlvs,NOM2,Case=Gen|Numb=Sing
dicitur,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
domum,domvs,NOM6,Case=Acc|Numb=Sing
Abimelech,abimelechvs,NOM7,Case=Acc|Numb=Sing
illi,ille,PROdem,Case=Dat|Numb=Sing
inimico,inimicvs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
nuntiatur,nvntio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quod,qvi,PROrel,Case=Nom|Numb=Sing
domum,domvs,NOM6,Case=Acc|Numb=Sing
ingressus,ingredior,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
fratris,frater,NOM3,Case=Gen|Numb=Sing
imperii,imperivm,NOM2,Case=Gen|Numb=Sing
domus,domvs,NOM4,Case=Gen|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
imperii,imperivm,NOM2,Case=Gen|Numb=Sing
fratris,frater,NOM3,Case=Gen|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Petrus,petrvs,NOM2,Case=Nom|Numb=Sing
apostolus,apostolvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
docet,doceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dicens,dico,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
uos,vos,PROper,Case=Nom|Numb=Plur
quasi,qvasi,ADVrel,MORPH=empty
lapides,lapis,NOM3,Case=Nom|Numb=Plur
uiui,vivvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sedificamini,sedifico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep
domus,domvs,NOM4,Case=Nom|Numb=Sing
spiritalis,spiritalis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
sacerdotium,sacerdotivm,NOM2,Case=Acc|Numb=Sing
sanctum,sancio,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
infra,infra,PRE,MORPH=empty
uos,vos,PROper,Case=Acc|Numb=Plur
autem,avtem,CONcoo,MORPH=empty
genus,genvs,NOM3,Case=Nom|Numb=Sing
electum,eligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
regale,regalis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sacerdotium,sacerdotivm,NOM2,Case=Nom|Numb=Sing
genus,genvs,NOM3,Case=Nom|Numb=Sing
sanctum,sanctvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
plebsad,plebs,NOM3,Case=Acc|Numb=Sing
possidendum,possideo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
in,in,PRE,MORPH=empty
hanc,hic,PROdem,Case=Acc|Numb=Sing
igitur,igitvr,CONcoo,MORPH=empty
spiritalem,spiritalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
domum,domvs,NOM6,Case=Acc|Numb=Sing
sedificandi,sedifico,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
in,in,PRE,MORPH=empty
regale,regalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
genus,genvs,NOM3,Case=Nom|Numb=Sing
sumus,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
si,si,CONsub,MORPH=empty
per,per,PRE,MORPH=empty
spiritalem,spiritalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
corporum,corpvs,NOM3,Case=Gen|Numb=Plur
aedificationem,aedificatio,NOM3,Case=Acc|Numb=Sing
conformes,conformo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=2
deo,devs,NOM2,Case=Dat|Numb=Sing
facti,factvm,VER,Case=Gen|Numb=Sing|Tense=Perf|Voice=Pass
genus,genvs,NOM3,Case=Acc|Numb=Sing
perfici,perficio,VER,Mood=Inf|Tense=Pres|Voice=Pass
regale,regalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
mereamur,mereor,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
hanc,hic,PROdem,Case=Acc|Numb=Sing
ergo,ergo,CONcoo,MORPH=empty
Abimelech,abimelechvs,ADJqua,Case=Acc|Numb=Sing
domum,domvs,NOM6,Case=Acc|Numb=Sing
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
domum,domvs,NOM6,Case=Acc|Numb=Sing
fraterni,fraternvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
regni,regnvm,NOM2,Case=Gen|Numb=Sing
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
ille,ille,PROdem,Case=Nom|Numb=Sing
uerus,vervs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sanctus,sanctvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
rex,rex,NOM3,Case=Nom|Numb=Sing
iustus,ivstvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
oriens,oriens,VER,Case=Nom|Numb=Sing
ingressus,ingressvs,ADJqua,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
factus,facio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
scilicet,scilicet,ADV,Deg=Pos
nostri,noster,PROpos,Case=Gen|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
homo,homo,NOM3,Case=Nom|Numb=Sing
quse,qvie,ADVrel,Deg=Pos
domus,domvs,NOM6,Case=Nom|Numb=Sing
fraternum,fraternvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ei,is,PROdem,Case=Dat|Numb=Sing
regnum,regnvm,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
eiusdem,idem,PROdem,Case=Gen|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
gloria,gloria,NOM1,Case=Abl|Numb=Sing
