form,lemma,pos,morph
tacta,tango,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
cum,cvm,PRE,MORPH=empty
meo,mevs,PROpos,Case=Abl|Numb=Sing
caelos,caelvs,NOM2,Case=Acc|Numb=Plur
resurgens,resvrgo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
glorioso,gloriosvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
corpore,corpvs,NOM3,Case=Abl|Numb=Sing
Quantis,qvantvs,NOM3,Case=Gen|Numb=Sing
fidelis,fidelis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
spebus,spebvs,NOM3,Case=Abl|Numb=Plur
Christum,christvs,NOM2,Case=Acc|Numb=Sing
credidi,credo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
in,in,PRE,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
natus,nascor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
me,ego,PROper,Case=Acc|Numb=Sing
per,per,PRE,MORPH=empty
carnem,caro,NOM3,Case=Acc|Numb=Sing
suscipit,svscipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Renata,renata,ADJqua,Case=Nom|Numb=Sing
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
o,o,INJ,MORPH=empty
uitae,vita,NOM1,Case=Gen|Numb=Sing
laetae,laetvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
exordia,exordivm,NOM2,Case=Acc|Numb=Plur
nouisque,novvsqve,ADJqua,Case=Dat|Deg=Pos
uiuo,vivvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Christiana,christianvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
legibus,lex,NOM3,Case=Abl|Numb=Plur
Sanctis,sanctvs,ADJqua,Case=Dat|Numb=Plur
perenne,perennis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
munus,mvnvs,NOM3,Case=Acc|Numb=Sing
praestat,praesto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hoc,hic,PROdem,Case=Acc|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
conformi,conformis,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
secum,secvm,NOM2,Deg=Pos
uiuant,vivo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
post,post,PRE,MORPH=empty
haec,hic,PROdem,Case=Acc|Numb=Plur
corpore,corpvs,NOM3,Case=Abl|Numb=Sing
Terror,terror,NOM3,Case=Nom|Numb=Sing
recedat,recedo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
mortis,mors,NOM3,Case=Gen|Numb=Sing
tandem,tandem,ADV,Deg=Pos
Mors,mors,NOM3,Case=Nom|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
sinu,sinvs,NOM4,Case=Abl|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
laetam,laetvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
patriarcha,patriarcha,NOM1,Case=Nom|Numb=Sing
suscipit,svscipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Viuam,viva,NOM1,Case=Acc|Numb=Sing
locata,loco,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
post,post,PRE,MORPH=empty
haec,hic,PROdem,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
caelestibus,caelestia,ADJqua,Case=Abl|Numb=Plur
dei,devs,NOM2,Case=Gen|Numb=Sing
sedere,sedeo,VER,Mood=Inf|Tense=Perf|Voice=Act
carnem,caro,NOM3,Case=Acc|Numb=Sing
certa,certvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
a,ab,PRE,MORPH=empty
dexteris,dextera,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
Xriste,xrista,ADJqua,Case=Abl|Numb=Sing
reuersus,revertor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
caelos,caelvs,NOM2,Case=Acc|Numb=Plur
uictor,victor,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
tuos,tvvs,PROpos,Case=Acc|Numb=Plur
memento,memini,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
carnis,caro,NOM3,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
natus,nascor,VER,Case=Nom|Numb=Sing|Tense=Perf
es,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
meae,mevs,PROpos,Case=Gen|Numb=Sing
Ymnos,hmmnvs,ADJqua,Case=Acc|Numb=Plur
perennes,perennis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
angelorum,angelvs,NOM2,Case=Gen|Numb=Plur
cum,cvm,PRE,MORPH=empty
choris,chorvs,NOM2,Case=Abl|Numb=Plur
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
resurgens,resvrgo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
laeta,laetvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
psallam,psalla,NOM1,Case=Acc|Numb=Sing
corpore,corpvs,NOM3,Case=Abl|Numb=Sing
Zelauit,zelavis,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
olim,olim,ADV,Deg=Pos
me,ego,PROper,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
morte,mors,NOM3,Case=Abl|Numb=Sing
satanas,satanvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
regnantem,regno,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
cernat,cerno,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
tecum,tecvm,NOM2,Case=Acc|Numb=Sing
totis,totvs,PROind,Case=Abl|Numb=Plur
sacculis,saccvlvs,NOM2,Case=Abl|Numb=Plur
